GPS Time,Device Time,Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),AccX,AccY,AccZ,Actual engine % torque(%),Air Fuel Ratio,Ambient air temp(°C),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average) ,CO₂ in g/km (Instantaneous),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM,Fuel used (trip)(gal),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip Distance(km)
Sun Aug 29 15:03:18 CST 2021,29-Aug.-2021 15:03:16.612,-104.52883734,50.44751204,20.29,3.8136876,556.9401855469,85.3,0.83659059,-0.44895336,10.00498962,-0.00947552,34.11764908,0.04442332,0.1264098,-0.03183114,-0,-0,35,13.63354778,395.79949951,246.6105957,88,95.29412079,67.45098114,2079,0.04151779,50.44751358,-104.52883911,16,55,13.19843388,-0,73.04399872,72,40.7843132,-0,0.72533309
Sun Aug 29 15:03:18 CST 2021,29-Aug.-2021 15:03:17.111,-104.52883734,50.44751204,20.29,3.8136876,556.9401855469,85.3,0.38315073,-0.48963133,9.76540852,0.00264215,54.11764908,0.03405686,0.12519023,0.02393431,-0,-0,35,13.63354778,395.79949951,246.6105957,88,95.29412079,71.37255096,2079,0.04151779,50.44751358,-104.52883911,16,55,13.19843388,-0,73.04399872,72,40.7843132,-0,0.72533309
Sun Aug 29 15:03:19 CST 2021,29-Aug.-2021 15:03:17.611,-104.52854755,50.44752455,20.76,3.814644,556.96484375,86.8,0.56380886,0.06221339,8.85105133,-0.01341793,54.11764908,0.01865963,0.1261659,0.09567628,-0,-0,35,13.63354778,393.76513672,312.39071655,88,95.29412079,71.37255096,2452,0.04205297,50.44752502,-104.52854919,15,55,13.48850918,-0,74.73600006,72,40.7843132,-0,0.72533309
Sun Aug 29 15:03:19 CST 2021,29-Aug.-2021 15:03:18.112,-104.52854755,50.44752455,20.76,3.814644,556.96484375,86.8,0.20578274,-0.33409786,9.47109127,-0.02647547,54.11764908,-0.02414775,0.13909347,-0.05125294,-0,-0,35,13.63354778,393.76513672,312.39071655,88,86.27451324,71.37255096,2452,0.04205297,50.44752502,-104.52854919,15,54,13.48850918,-0,74.73600006,74,40.7843132,47.50445557,0.75272834
Sun Aug 29 15:03:20 CST 2021,29-Aug.-2021 15:03:18.615,-104.5282533,50.44753504,21.23,3.8143475,556.7087402344,87.5,0.0107677,-1.18983102,9.80369377,0.02028887,54.11764908,-0.01158604,0.05686307,-0.02353796,-0,-0,34,13.63354778,393.76513672,312.39071655,88,86.27451324,71.37255096,2452,0.04205297,50.44753647,-104.52825165,16,54,13.48850918,-0,76.42799377,74,27.84313774,47.50445557,0.75272834
Sun Aug 29 15:03:20 CST 2021,29-Aug.-2021 15:03:19.112,-104.5282533,50.44753504,21.23,3.8143475,556.7087402344,87.5,0.25124636,-1.29990089,9.84227753,-0.01642917,16.47058868,-0.00060979,0.04454528,-0.07162006,-0,-0,34,13.63354778,393.76513672,312.39071655,88,86.27451324,71.37255096,2452,0.04205297,50.44753647,-104.52825165,16,54,13.48850918,-0,76.42799377,74,27.84313774,47.50445557,0.75272834
Sun Aug 29 15:03:21 CST 2021,29-Aug.-2021 15:03:19.612,-104.52795549,50.44754276,21.08,3.8656013,556.7845458984,87.7,0.81984085,-1.48564374,11.16610718,0.00024844,16.47058868,-0.03734974,0.02817237,0.04454534,-0,-0,34,13.63354778,390.18939209,243.58355713,88,86.27451324,17.64705849,2452,0.04303611,50.4475441,-104.5279541,15,54,9.13737774,-0,75.88800049,74,27.84313774,47.50445557,0.75272834
Sun Aug 29 15:03:21 CST 2021,29-Aug.-2021 15:03:20.112,-104.52795549,50.44754276,21.08,3.8656013,556.7845458984,87.7,0.23928227,-0.73130643,9.70678425,0.00449547,16.47058868,-0.01548871,0.07222982,-0.00817117,-0,-0,33,13.63354778,390.18939209,243.58355713,88,89.41176605,17.64705849,1516,0.04303611,50.4475441,-104.5279541,15,55,9.13737774,-0,75.88800049,75,30.58823586,23.82461929,0.79705584
Sun Aug 29 15:03:22 CST 2021,29-Aug.-2021 15:03:20.611,-104.52765789,50.44755014,21.12,3.871624,556.8992919922,87.5,-0.27996024,-0.9529416,8.61625481,-0.10906243,32.54901886,0.01134213,0.09848135,0.01829373,-0,-0,33,13.63354778,385.21655273,176.35687256,88,89.41176605,58.4313736,1725,0.04329766,50.44755173,-104.52765656,12,55,10.87783051,-0,76.03199768,75,30.58823586,23.82461929,0.81291002
Sun Aug 29 15:03:22 CST 2021,29-Aug.-2021 15:03:21.112,-104.52765789,50.44755014,21.12,3.871624,556.8992919922,87.5,-0.28983065,-0.99122679,9.83509922,-0.01182107,20.3921566,-0.03405686,0.07674228,-0.00609788,-0,-0,33,13.63354778,385.21655273,176.35687256,88,62.74509811,41.17647171,1725,0.04329766,50.44755173,-104.52765656,12,55,10.87783051,-0,76.03199768,75,20.3921566,23.82461929,0.81291002
